Date,Company,Ticker Symbol,Currency,Open,High,Low,Close,Adj Close,Volume
2000-01-01,Microsoft Gaming,MSFT,USD,58.6875,59.3125,47.4375,48.9375,30.174570083618164,1274875200
2000-01-01,Electronic Arts,EA,USD,21.25,28.765625,16.96875,20.4375,19.989416122436523,140837600
2000-01-01,Sony Interactive Entertainment,SONY,JPY,28.524999618530277,29.168750762939453,20.850000381469727,25.299999237060547,14.535082817077637,147012000
2000-01-01,Take-Two Interactive,TTWO,USD,8.916666984558105,10.0,7.25,8.291666984558105,8.291154861450195,13482450
2000-01-01,Nintendo,NTDOY,USD,4.199999809265137,4.731249809265137,3.674999952316284,4.449999809265137,4.228190898895264,5613500
2000-02-01,Microsoft Gaming,MSFT,USD,49.25,55.0,44.0625,44.6875,27.55404663085937,1334487600
2000-02-01,Electronic Arts,EA,USD,20.46875,25.5625,18.75,25.0,24.45189094543457,70948000
2000-02-01,Sony Interactive Entertainment,SONY,JPY,25.293750762939453,31.475000381469727,25.0,31.350000381469727,18.0108642578125,67437000
2000-02-01,Take-Two Interactive,TTWO,USD,8.166666984558105,9.833333015441896,7.6458330154418945,8.291666984558105,8.291154861450195,11218650
2000-02-01,Nintendo,NTDOY,USD,4.474999904632568,5.75,4.300000190734863,5.400000095367432,5.130838871002197,12220000
2000-03-01,Microsoft Gaming,MSFT,USD,44.8125,57.5,44.46875,53.125,32.756534576416016,2028187600
2000-03-01,Electronic Arts,EA,USD,23.75,26.125,17.0625,17.796875,17.406679153442383,138755600
2000-03-01,Sony Interactive Entertainment,SONY,JPY,30.100000381469727,31.299999237060547,21.700000762939453,28.012500762939453,16.09343719482422,112674000
2000-03-01,Take-Two Interactive,TTWO,USD,8.416666984558105,12.625,8.166666984558105,8.833333015441895,8.83278751373291,32141100
2000-03-01,Nintendo,NTDOY,USD,5.550000190734863,5.699999809265137,3.700000047683716,4.400000095367432,4.180683135986328,6354000
2000-04-01,Microsoft Gaming,MSFT,USD,47.21875,48.25,32.5,34.875,21.503711700439453,2258146600
2000-04-01,Electronic Arts,EA,USD,18.0,18.03125,12.671875,15.125,14.793389320373535,115839200
2000-04-01,Sony Interactive Entertainment,SONY,JPY,28.25,28.25,22.3125,22.5625,12.974536895751951,74071000
2000-04-01,Take-Two Interactive,TTWO,USD,8.75,8.958333015441895,5.333333015441895,6.4166669845581055,6.416270732879639,12789150
2000-04-01,Nintendo,NTDOY,USD,4.025000095367432,4.699999809265137,3.299999952316284,4.150000095367432,3.9431447982788086,8573500
2000-05-01,Microsoft Gaming,MSFT,USD,36.4375,37.0,30.1875,31.28125,19.28783416748047,1344430800
2000-05-01,Electronic Arts,EA,USD,15.0,16.96875,12.25,15.96875,15.61864185333252,135958000
2000-05-01,Sony Interactive Entertainment,SONY,JPY,22.700000762939453,23.481250762939453,17.75,18.237499237060547,10.48745346069336,65035500
2000-05-01,Take-Two Interactive,TTWO,USD,6.4166669845581055,8.833333015441895,5.9166669845581055,6.0416669845581055,6.041294097900391,8968350
2000-05-01,Nintendo,NTDOY,USD,4.25,4.550000190734863,3.549999952316284,3.775000095367432,3.5868358612060547,12605000
2000-06-01,Microsoft Gaming,MSFT,USD,32.1875,41.09375,31.90625,40.0,24.66375732421875,1467050200
2000-06-01,Electronic Arts,EA,USD,16.078125,20.1875,15.015625,18.234375,17.834592819213867,82729600
2000-06-01,Sony Interactive Entertainment,SONY,JPY,18.200000762939453,20.987499237060547,17.799999237060547,18.862499237060547,10.846858978271484,47946500
2000-06-01,Take-Two Interactive,TTWO,USD,6.645833015441895,9.0,6.333333015441895,8.083333015441895,8.082834243774414,15005700
2000-06-01,Nintendo,NTDOY,USD,3.575000047683716,4.650000095367432,3.450000047683716,4.400000095367432,4.180683135986328,2633500
2000-07-01,Electronic Arts,EA,USD,18.21875,23.8125,18.203125,22.109375,21.6246337890625,67705600
2000-07-01,Microsoft Gaming,MSFT,USD,39.84375,41.4375,33.625,34.90625,21.52297592163086,1234185800
2000-07-01,Sony Interactive Entertainment,SONY,JPY,19.487499237060547,21.087499618530277,18.087499618530277,18.787500381469727,10.803732872009276,29562000
